sample_,var_,count,varcode,varname
13,201,1.0,Cm.Sf.A,Compositae subf. Asteroideae
13,203,5.0,Cm.Sf.C,Compositae subf. Cichorioideae
13,217,5.0,Cor,Corylus
13,233,10.0,Cypae,Cyperaceae
13,272,2.0,Eph,Ephedra
13,282,6.0,Eriae,Ericaceae
13,304,1.0,Fag,Fagus
13,349,11.0,Graae,Gramineae
13,392,1.0,Jug,Juglans
13,531,88.0,Oleae,Oleaceae
13,567,104.0,Pin,Pinus
13,572,2.0,Pst,Pistacia
13,576,6.0,Pla,Plantago
13,657,31.0,Que.i-T,Quercus ilex-type
13,659,14.0,Que.r-T,Quercus robur-type
13,854,1.0,Umb,Umbelliferae
13,2610,3.0,PseudoS,Pseudoschizaea
14,32,3.0,Aln,Alnus
14,66,26.0,Art,Artemisia
14,95,3.0,Bet,Betula
14,185,58.0,Cheae,Chenopodiaceae
14,196,1.0,Ciu,Cistus
14,203,2.0,Cm.Sf.C,Compositae subf. Cichorioideae
14,217,3.0,Cor,Corylus
14,233,8.0,Cypae,Cyperaceae
14,272,2.0,Eph,Ephedra
14,282,12.0,Eriae,Ericaceae
14,349,18.0,Graae,Gramineae
14,394,3.0,Jun,Juniperus
14,415,4.0,Lig,Ligustrum
14,531,41.0,Oleae,Oleaceae
14,567,46.0,Pin,Pinus
14,572,25.0,Pst,Pistacia
14,576,3.0,Pla,Plantago
14,657,25.0,Que.i-T,Quercus ilex-type
14,659,19.0,Que.r-T,Quercus robur-type
14,662,2.0,Ranae,Ranunculaceae
14,793,8.0,Spa-T,Sparganium-type
14,854,5.0,Umb,Umbelliferae
14,897,1.0,Vts,Vitis
14,956,1.0,Ppd,Polypodium
14,1400,3.0,Mon.s,Monolete spore(s)
14,2610,3.0,PseudoS,Pseudoschizaea
15,32,5.0,Aln,Alnus
15,66,19.0,Art,Artemisia
15,95,4.0,Bet,Betula
15,185,32.0,Cheae,Chenopodiaceae
15,196,1.0,Ciu,Cistus
15,203,1.0,Cm.Sf.C,Compositae subf. Cichorioideae
15,217,7.0,Cor,Corylus
15,233,5.0,Cypae,Cyperaceae
15,282,6.0,Eriae,Ericaceae
15,298,1.0,Eup,Euphorbia
15,304,1.0,Fag,Fagus
15,349,11.0,Graae,Gramineae
15,392,1.0,Jug,Juglans
15,531,39.0,Oleae,Oleaceae
15,567,39.0,Pin,Pinus
15,572,5.0,Pst,Pistacia
15,576,14.0,Pla,Plantago
15,657,58.0,Que.i-T,Quercus ilex-type
15,659,23.0,Que.r-T,Quercus robur-type
15,694,1.0,Rum,Rumex
15,712,1.0,Sal,Salix
15,854,2.0,Umb,Umbelliferae
15,1396,2.0,Trl.s,Trilete spore(s)
16,32,4.0,Aln,Alnus
16,66,15.0,Art,Artemisia
16,119,1.0,Bux,Buxus
16,185,41.0,Cheae,Chenopodiaceae
16,201,2.0,Cm.Sf.A,Compositae subf. Asteroideae
16,203,1.0,Cm.Sf.C,Compositae subf. Cichorioideae
16,217,6.0,Cor,Corylus
16,233,12.0,Cypae,Cyperaceae
16,282,4.0,Eriae,Ericaceae
16,304,1.0,Fag,Fagus
16,349,4.0,Graae,Gramineae
16,394,2.0,Jun,Juniperus
16,415,1.0,Lig,Ligustrum
16,531,29.0,Oleae,Oleaceae
16,567,82.0,Pin,Pinus
16,572,44.0,Pst,Pistacia
16,576,3.0,Pla,Plantago
16,657,37.0,Que.i-T,Quercus ilex-type
16,659,9.0,Que.r-T,Quercus robur-type
16,793,1.0,Spa-T,Sparganium-type
16,854,1.0,Umb,Umbelliferae
16,1396,4.0,Trl.s,Trilete spore(s)
16,1400,1.0,Mon.s,Monolete spore(s)
16,2610,2.0,PseudoS,Pseudoschizaea
17,1,1.0,Abi,Abies
17,32,3.0,Aln,Alnus
17,66,20.0,Art,Artemisia
17,95,1.0,Bet,Betula
17,119,1.0,Bux,Buxus
17,185,50.0,Cheae,Chenopodiaceae
17,196,5.0,Ciu,Cistus
17,201,2.0,Cm.Sf.A,Compositae subf. Asteroideae
17,203,4.0,Cm.Sf.C,Compositae subf. Cichorioideae
17,217,13.0,Cor,Corylus
17,233,4.0,Cypae,Cyperaceae
17,282,5.0,Eriae,Ericaceae
17,304,1.0,Fag,Fagus
17,349,18.0,Graae,Gramineae
17,394,3.0,Jun,Juniperus
17,503,1.0,Myo,Myriophyllum
17,531,82.0,Oleae,Oleaceae
17,567,164.0,Pin,Pinus
17,572,4.0,Pst,Pistacia
17,576,25.0,Pla,Plantago
17,657,44.0,Que.i-T,Quercus ilex-type
17,659,40.0,Que.r-T,Quercus robur-type
17,694,1.0,Rum,Rumex
17,854,3.0,Umb,Umbelliferae
17,1163,1.0,Canae,Cannabaceae
17,1396,1.0,Trl.s,Trilete spore(s)
18,32,1.0,Aln,Alnus
18,66,15.0,Art,Artemisia
18,95,1.0,Bet,Betula
18,185,33.0,Cheae,Chenopodiaceae
18,196,3.0,Ciu,Cistus
18,217,5.0,Cor,Corylus
18,233,6.0,Cypae,Cyperaceae
18,272,5.0,Eph,Ephedra
18,282,1.0,Eriae,Ericaceae
18,304,2.0,Fag,Fagus
18,349,7.0,Graae,Gramineae
18,394,2.0,Jun,Juniperus
18,415,2.0,Lig,Ligustrum
