sample_,var_,count,varcode,varname
11,657,23.0,Que.i-T,Quercus ilex-type
11,659,2.0,Que.r-T,Quercus robur-type
11,793,2.0,Spa-T,Sparganium-type
11,816,2.0,Tha,Thalictrum
11,854,17.0,Umb,Umbelliferae
11,2610,1.0,PseudoS,Pseudoschizaea
12,66,255.0,Art,Artemisia
12,185,1100.0,Cheae,Chenopodiaceae
12,201,19.0,Cm.Sf.A,Compositae subf. Asteroideae
12,203,34.0,Cm.Sf.C,Compositae subf. Cichorioideae
12,228,3.0,Cru,Cruciferae
12,233,1.0,Cypae,Cyperaceae
12,237,1.0,Dap,Daphne
12,349,4.0,Graae,Gramineae
12,355,1.0,Hel,Helianthemum
12,401,2.0,Lab,Labiatae
12,411,4.0,Leg,Leguminosae
12,530,3.0,Ole,Olea
12,562,1.0,Phi,Phillyrea
12,567,3.0,Pin,Pinus
12,576,3.0,Pla,Plantago
12,657,11.0,Que.i-T,Quercus ilex-type
12,659,4.0,Que.r-T,Quercus robur-type
12,675,1.0,Rha,Rhamnus
12,816,4.0,Tha,Thalictrum
12,848,1.0,Typ.l-T,Typha latifolia-type
12,854,4.0,Umb,Umbelliferae
12,1118,2.0,Cen-T,Centaurea-type
12,1141,1.0,Monocoty,Monocotyledones
12,1313,1.0,Gerae,Geraniaceae
12,1546,1.0,Thm,Thymelaea
13,66,261.0,Art,Artemisia
13,185,149.0,Cheae,Chenopodiaceae
13,201,7.0,Cm.Sf.A,Compositae subf. Asteroideae
13,203,24.0,Cm.Sf.C,Compositae subf. Cichorioideae
13,228,1.0,Cru,Cruciferae
13,233,1.0,Cypae,Cyperaceae
13,282,1.0,Eriae,Ericaceae
13,355,3.0,Hel,Helianthemum
13,411,4.0,Leg,Leguminosae
13,530,2.0,Ole,Olea
13,567,5.0,Pin,Pinus
13,576,1.0,Pla,Plantago
13,657,10.0,Que.i-T,Quercus ilex-type
13,659,2.0,Que.r-T,Quercus robur-type
13,816,1.0,Tha,Thalictrum
13,854,4.0,Umb,Umbelliferae
13,1141,1.0,Monocoty,Monocotyledones
13,1396,1.0,Trl.s,Trilete spore(s)
13,2610,2.0,PseudoS,Pseudoschizaea
14,1,1.0,Abi,Abies
14,66,365.0,Art,Artemisia
14,185,296.0,Cheae,Chenopodiaceae
14,201,10.0,Cm.Sf.A,Compositae subf. Asteroideae
14,203,36.0,Cm.Sf.C,Compositae subf. Cichorioideae
14,282,1.0,Eriae,Ericaceae
14,349,4.0,Graae,Gramineae
14,355,1.0,Hel,Helianthemum
14,411,6.0,Leg,Leguminosae
14,530,3.0,Ole,Olea
14,562,2.0,Phi,Phillyrea
14,567,2.0,Pin,Pinus
14,576,3.0,Pla,Plantago
14,604,1.0,Pol,Polygonum
14,657,4.0,Que.i-T,Quercus ilex-type
14,659,2.0,Que.r-T,Quercus robur-type
14,816,4.0,Tha,Thalictrum
14,854,12.0,Umb,Umbelliferae
14,1118,1.0,Cen-T,Centaurea-type
14,1396,1.0,Trl.s,Trilete spore(s)
14,1546,1.0,Thm,Thymelaea
14,2610,3.0,PseudoS,Pseudoschizaea
15,66,204.0,Art,Artemisia
15,165,3.0,Crl-T,Cerealia-type
15,185,132.0,Cheae,Chenopodiaceae
15,201,22.0,Cm.Sf.A,Compositae subf. Asteroideae
15,203,495.0,Cm.Sf.C,Compositae subf. Cichorioideae
15,228,1.0,Cru,Cruciferae
15,233,5.0,Cypae,Cyperaceae
15,272,8.0,Eph,Ephedra
15,349,15.0,Graae,Gramineae
15,401,1.0,Lab,Labiatae
15,411,5.0,Leg,Leguminosae
15,562,3.0,Phi,Phillyrea
15,567,3.0,Pin,Pinus
15,576,58.0,Pla,Plantago
15,657,4.0,Que.i-T,Quercus ilex-type
15,662,1.0,Ranae,Ranunculaceae
15,816,1.0,Tha,Thalictrum
15,854,7.0,Umb,Umbelliferae
15,1118,1.0,Cen-T,Centaurea-type
15,1141,1.0,Monocoty,Monocotyledones
15,1396,1.0,Trl.s,Trilete spore(s)
15,1400,1.0,Mon.s,Monolete spore(s)
15,2610,7.0,PseudoS,Pseudoschizaea
16,66,230.0,Art,Artemisia
16,185,256.0,Cheae,Chenopodiaceae
16,201,8.0,Cm.Sf.A,Compositae subf. Asteroideae
16,203,227.0,Cm.Sf.C,Compositae subf. Cichorioideae
16,272,2.0,Eph,Ephedra
16,349,6.0,Graae,Gramineae
16,355,4.0,Hel,Helianthemum
16,411,3.0,Leg,Leguminosae
16,530,3.0,Ole,Olea
16,562,1.0,Phi,Phillyrea
16,567,7.0,Pin,Pinus
16,657,15.0,Que.i-T,Quercus ilex-type
16,816,3.0,Tha,Thalictrum
16,854,17.0,Umb,Umbelliferae
16,1141,1.0,Monocoty,Monocotyledones
16,1396,1.0,Trl.s,Trilete spore(s)
16,2610,4.0,PseudoS,Pseudoschizaea
17,66,181.0,Art,Artemisia
17,185,323.0,Cheae,Chenopodiaceae
17,196,1.0,Ciu,Cistus
17,201,9.0,Cm.Sf.A,Compositae subf. Asteroideae
17,203,55.0,Cm.Sf.C,Compositae subf. Cichorioideae
17,233,1.0,Cypae,Cyperaceae
17,272,15.0,Eph,Ephedra
17,282,3.0,Eriae,Ericaceae
17,349,3.0,Graae,Gramineae
17,355,5.0,Hel,Helianthemum
17,530,2.0,Ole,Olea
17,562,1.0,Phi,Phillyrea
17,567,4.0,Pin,Pinus
17,576,2.0,Pla,Plantago
17,657,11.0,Que.i-T,Quercus ilex-type
17,659,2.0,Que.r-T,Quercus robur-type
17,816,12.0,Tha,Thalictrum
17,854,9.0,Umb,Umbelliferae
17,1396,1.0,Trl.s,Trilete spore(s)
17,2610,3.0,PseudoS,Pseudoschizaea
18,66,261.0,Art,Artemisia
18,141,1.0,Cphae,Caryophyllaceae
18,185,691.0,Cheae,Chenopodiaceae
18,196,1.0,Ciu,Cistus
18,201,8.0,Cm.Sf.A,Compositae subf. Asteroideae
18,203,56.0,Cm.Sf.C,Compositae subf. Cichorioideae
18,233,1.0,Cypae,Cyperaceae
18,272,9.0,Eph,Ephedra
18,282,2.0,Eriae,Ericaceae
18,349,6.0,Graae,Gramineae
18,355,10.0,Hel,Helianthemum
18,394,1.0,Jun,Juniperus
18,401,1.0,Lab,Labiatae
18,411,2.0,Leg,Leguminosae
18,530,10.0,Ole,Olea
18,562,5.0,Phi,Phillyrea
18,567,13.0,Pin,Pinus
18,572,1.0,Pst,Pistacia
18,576,14.0,Pla,Plantago
18,657,20.0,Que.i-T,Quercus ilex-type
18,659,4.0,Que.r-T,Quercus robur-type
18,687,1.0,Rosae,Rosaceae
18,694,1.0,Rum,Rumex
18,793,1.0,Spa-T,Sparganium-type
18,816,5.0,Tha,Thalictrum
18,854,10.0,Umb,Umbelliferae
18,1396,1.0,Trl.s,Trilete spore(s)
18,2610,3.0,PseudoS,Pseudoschizaea
19,66,920.0,Art,Artemisia
19,148,1.0,Ced,Cedrus
19,185,2040.0,Cheae,Chenopodiaceae
19,196,1.0,Ciu,Cistus
19,201,20.0,Cm.Sf.A,Compositae subf. Asteroideae
19,203,74.0,Cm.Sf.C,Compositae subf. Cichorioideae
19,233,3.0,Cypae,Cyperaceae
19,272,50.0,Eph,Ephedra
19,282,1.0,Eriae,Ericaceae
19,349,5.0,Graae,Gramineae
19,355,6.0,Hel,Helianthemum
19,411,6.0,Leg,Leguminosae
19,530,3.0,Ole,Olea
19,562,2.0,Phi,Phillyrea
19,567,67.0,Pin,Pinus
