sample_,var_,count,varcode,varname
22,66,46.0,Art,Artemisia
22,185,14.0,Cheae,Chenopodiaceae
22,203,1.0,Cm.Sf.C,Compositae subf. Cichorioideae
22,273,13.0,Eph.d,Ephedra distachya
22,349,77.0,Graae,Gramineae
22,394,56.0,Jun,Juniperus
22,530,4.0,Ole,Olea
22,543,1.0,Ost/Car,Ostrya/Carpinus
22,567,67.0,Pin,Pinus
22,708,4.0,Rup,Ruppia
22,1366,2.0,Ant,Anthemis
22,1487,4.0,Que.i,Quercus ilex
22,1488,1.0,Que.s,Quercus suber
