sample_,var_,count,varcode,varname
6,1338,1.0,Pin.s-T,Pinus sylvestris-type
6,1478,2.0,Pla.c-T,Plantago coronopus-type
6,2171,4.0,Zyg-T,Zygnema-type
6,3018,2.0,Cicoid,Cichorioideae
6,3028,238.0,Eri-T,Erica-type
6,3043,15.0,Crl,Cerealia
6,3282,4.0,Crdae,Carduaceae
6,3284,1.0,Glo.cf.f,Glomus cf. fasciculatum
6,3301,3.0,Pse.c,Pseudoschizaea circula
6,3313,9.0,Asp.t,Asplenium trichomanes
6,4226,1.0,T119,Type 119
6,4262,10.0,T181,Type 181
6,4263,1.0,T18A,Type 18A
6,4271,11.0,T225,Type 225
6,4272,1.0,T233,Type 233
6,4274,3.0,Spi.cf.s,Spirogyra cf. scrobiculata
6,4366,54.0,Que.py-T,Quercus pyrenaica-type
7,32,2.0,Aln,Alnus
7,95,20.0,Bet,Betula
7,124,13.0,Cal.v,Calluna vulgaris
7,233,8.0,Cypae,Cyperaceae
7,349,43.0,Graae,Gramineae
7,352,17.0,Hed,Hedera
7,411,4.0,Leg,Leguminosae
7,763,1.0,Scoae,Scrophulariaceae
7,854,1.0,Umb,Umbelliferae
7,863,1.0,Urt.d-T,Urtica dioica-type
7,945,14.0,Lyc,Lycopodium
7,958,4.0,Ppd.v-T,Polypodium vulgare-type
7,961,20.0,Ptd.a,Pteridium aquilinum
7,989,1.0,Til.s,Tilletia sphagni
7,1271,3.0,Amp.f,Amphitrema flavum
7,1338,34.0,Pin.s-T,Pinus sylvestris-type
7,1530,1.0,Spi,Spirogyra
7,1636,10.0,Ass.m,Assulina muscorum
7,3028,410.0,Eri-T,Erica-type
7,3043,4.0,Crl,Cerealia
7,3301,1.0,Pse.c,Pseudoschizaea circula
7,4271,3.0,T225,Type 225
7,4274,3.0,Spi.cf.s,Spirogyra cf. scrobiculata
7,4366,32.0,Que.py-T,Quercus pyrenaica-type
8,32,13.0,Aln,Alnus
8,95,50.0,Bet,Betula
8,124,5.0,Cal.v,Calluna vulgaris
8,233,7.0,Cypae,Cyperaceae
8,349,62.0,Graae,Gramineae
8,352,11.0,Hed,Hedera
8,411,4.0,Leg,Leguminosae
8,763,4.0,Scoae,Scrophulariaceae
8,854,3.0,Umb,Umbelliferae
8,945,31.0,Lyc,Lycopodium
8,958,8.0,Ppd.v-T,Polypodium vulgare-type
8,961,13.0,Ptd.a,Pteridium aquilinum
8,1337,2.0,Pis.p,Pinus pinaster
8,1478,1.0,Pla.c-T,Plantago coronopus-type
8,1810,1.0,Asp.a-T,Asphodelus albus-type
8,3028,310.0,Eri-T,Erica-type
8,3043,11.0,Crl,Cerealia
8,3282,1.0,Crdae,Carduaceae
8,3301,1.0,Pse.c,Pseudoschizaea circula
8,4265,1.0,T82,Type 82
8,4271,2.0,T225,Type 225
8,4274,4.0,Spi.cf.s,Spirogyra cf. scrobiculata
